"taxon","lfc_(Intercept)","lfc_TimepointAfter_Treatment","lfc_Timepoint5dpi","se_(Intercept)","se_TimepointAfter_Treatment","se_Timepoint5dpi","W_(Intercept)","W_TimepointAfter_Treatment","W_Timepoint5dpi","p_(Intercept)","p_TimepointAfter_Treatment","p_Timepoint5dpi","q_(Intercept)","q_TimepointAfter_Treatment","q_Timepoint5dpi","diff_(Intercept)","diff_TimepointAfter_Treatment","diff_Timepoint5dpi","passed_ss_(Intercept)","passed_ss_TimepointAfter_Treatment","passed_ss_Timepoint5dpi"
"g__Dubosiella",0.299821896431444,-2.2448384721014,1.23270938912302,0.468885399436604,1.36064174382262,0.579288393061423,0.639435343458549,-1.6498380137851,2.12797184250214,0.531589007605814,0.118466761045495,0.0492327087782406,1,0.47386704418198,0.344628961447684,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"g__Ligilactobacillus",-0.498903034994451,1.042592162803,0.710448479060593,0.443378875581304,0.878470349648684,0.621475059057323,-1.12522960039616,1.18682681005676,1.14316490856162,0.284444508856079,0.260295243600176,0.277240036597633,1,0.780885730800527,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"g__Faecalibaculum",1.4372483696046,-2.92279484431318,-1.27348557616546,0.559512183765488,1.02880502335848,0.906365096748798,2.56875258717691,-2.84096089924976,-1.40504701773441,0.0206062736804826,0.0117995820537581,0.179125298499702,0.144243915763378,0.082597074376307,0.922748682966715,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"g__Alistipes_A_871400",1.29834998301838,-4.80755999000555,-0.0497349102841687,0.304368055061456,0.598593036454831,0.516700812360454,4.26572355878882,-8.03143320623697,-0.096254755352452,0.000919935156890767,2.14213413304798e-06,0.924786284216294,0.0082794164120169,2.14213413304798e-05,1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"g__Bacteroides_H_857956",-0.822223981720727,1.15343562074003,1.21479168224859,0.630836869895749,1.12099955421954,0.808650376870197,-1.30338605899273,1.02893495041849,1.50224586174105,0.212094657814274,0.319817112128808,0.153791447161119,1,0.780885730800527,0.922748682966715,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"g__Parasutterella_564865",-2.79886091375113,4.64264086391182,2.46462912932421,0.339755494637633,1.11653202970538,0.504247831314599,-8.23786799014469,4.15809017600408,4.88773372192558,1.62016235787222e-06,0.00112410420053082,0.000296503549949224,1.62016235787222e-05,0.0101169378047774,0.0023720283995938,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"g__Akkermansia",0.187304802553,-2.72889624092343,1.95301958864054,0.319130045311841,1.03147665238433,0.390486964043409,0.586923122108334,-2.64562094994142,5.00149753635163,0.565445785592376,0.0176259116592368,0.000130473041749143,1,0.105755469955421,0.00130473041749143,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"g__CAG-873",0.142256469811939,-3.05436768210457,3.0657445610489,0.403618490462341,0.711057075685322,0.519019842594971,0.352452806730894,-4.29553095883442,5.90679644485447,0.732611512978945,0.00200374328070179,0.000227150319758889,1,0.0160299462456143,0.00204435287783,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"g__Granulimonas",0.250891830173838,-0.129182301226373,-0.450500938498273,0.448710726846666,0.958683884874024,0.677870797658351,0.559139363431292,-0.134749632558336,-0.664582306915258,0.58836893859137,0.89548342433275,0.521347388838137,1,0.89548342433275,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"g__Turicibacter",0.904380939117098,-2.8220488874246,0.0715000534669763,0.262125655668425,1.06943293168743,0.397055002676244,3.45018093254135,-2.63882736710919,0.180075941582524,0.0043066232123737,0.0204415163022046,0.859869667674426,0.0344529856989896,0.105755469955421,1,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
