"taxon","lfc_(Intercept)","lfc_TimepointAfter_Treatment","lfc_Timepoint5dpi","se_(Intercept)","se_TimepointAfter_Treatment","se_Timepoint5dpi","W_(Intercept)","W_TimepointAfter_Treatment","W_Timepoint5dpi","p_(Intercept)","p_TimepointAfter_Treatment","p_Timepoint5dpi","q_(Intercept)","q_TimepointAfter_Treatment","q_Timepoint5dpi","diff_(Intercept)","diff_TimepointAfter_Treatment","diff_Timepoint5dpi","passed_ss_(Intercept)","passed_ss_TimepointAfter_Treatment","passed_ss_Timepoint5dpi"
"g__Dubosiella",-0.137759282443747,-0.0579924088452494,0.505055184152337,0.196621780097763,0.377684934741234,0.457358221332752,-0.7006308374141,-0.153547053405724,1.10428797514691,0.494258895068123,0.880013541279668,0.286868221644533,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"g__COE1",0.0155375299820949,-1.23973047489381,0.999969916896368,0.465878413162124,0.579363368948296,0.623128236696208,0.0333510408362448,-2.13981508210342,1.60475782994228,0.973942975081967,0.0536087324901776,0.134526206682973,1,0.589696057391954,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"g__Dorea_D_143701",0.585767500415137,-2.08640873924582,-0.0460423192886188,0.237784249734911,0.431754468373368,0.549788008065104,2.46344112811579,-4.83239640137681,-0.0837455866865083,0.0359550927304107,0.000930799804857097,0.935091869348762,0.323595834573696,0.0121003974631423,1,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
"g__Ligilactobacillus",-2.51251049829094,3.7319858219474,3.56031192144918,0.272638298432859,0.665289686918095,0.466769898838804,-9.21554496463997,5.60956511927241,7.62755252707227,8.45397192160743e-08,3.91377603163148e-05,1.02356810155832e-06,1.52171494588934e-06,0.000587066404744722,1.84242258280498e-05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"g__Faecalibaculum",0.781487201443425,-0.334621215337933,-1.8948758030138,0.152893323145646,0.343447438299724,0.514396232488987,5.11132327668083,-0.974301095371431,-3.6836891161608,0.00010462385175733,0.344408117708413,0.00201044237080058,0.00156935777635996,1,0.0301566355620087,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"g__Bacteroides_H_857956",-1.1216278686169,2.92836782217917,0.348192896438851,0.275530986942764,0.437074403688906,0.765264212014808,-4.07078666926814,6.69992980019823,0.454996968330872,0.00100402302674906,7.1063669915327e-06,0.655627410328701,0.0130522993477377,0.000120808238856056,1,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"g__Parasutterella_564865",-1.56274289002856,2.99439644145057,1.21842488597022,0.196828400998322,0.480608288465499,0.491453772851031,-7.93962091904553,6.23043029701209,2.47922582606675,2.42931501679085e-06,3.06601759092201e-05,0.0276503027480789,4.12983552854444e-05,0.000490562814547521,0.331803632976946,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
"g__Akkermansia",-1.65016595618772,0.480420582018848,3.77253559099731,0.501921354297078,0.600477200046229,0.765694658869549,-3.28769824607027,0.800064651883304,4.92694515665942,0.00498301634966823,0.436161621915112,0.000182510752574993,0.0597961961960188,1,0.00292017204119989,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
"g__Duncaniella",1.02892342615504,-2.40825856265117,-0.680296179463703,0.152302292175626,0.461303614673825,0.633924130838153,6.75579737807588,-5.2205499502838,-1.07315078630031,6.46024786426376e-06,0.000103602642854304,0.300165231563516,0.00010336396582822,0.00145043699996025,1,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"g__CAG-873",0.429280254842657,-2.88182856816532,1.24443506875462,0.166775578012984,0.399126167455985,0.464394702623657,2.57399950254849,-7.22034485118826,2.67969264447683,0.0203883988595916,2.04247520467281e-06,0.0164412757410398,0.203883988595916,3.67645536841105e-05,0.213736584633517,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
"g__Granulimonas",1.85639099647741,-1.31115568528297,-3.74938139099958,0.34651073918431,0.637983579593179,0.533763836042486,5.3573837302918,-2.05515584918196,-7.02442004838473,0.000231190563419287,0.0644009777751667,2.19849555303395e-05,0.00323666788787002,0.644009777751667,0.000373744244015771,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"g__Bifidobacterium_388775",-0.347376867848211,0.203881813422627,0.707609788983019,0.296372843459837,0.602265799757663,0.50173226309294,-1.17209412236613,0.338524640623234,1.41033344082946,0.258316806028636,0.739369512949525,0.177586074727604,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"g__Adlercreutzia_A_404257",-0.14878445311759,-0.235680428388826,0.489896211052848,0.371850159543229,0.554703138666109,0.598520816561482,-0.400119374159617,-0.424876680805458,0.818511566343364,0.695565746704942,0.677874525354544,0.427814633182293,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
